Date,Close,High,Low,Open,Volume
20150102,17832.99,17951.78,17731.3,17823.07,76273096
20150105,17501.65,17821.3,17475.93,17821.3,116161258
20150106,17371.64,17581.05,17262.37,17504.18,101870484
20150107,17584.52,17597.08,17374.78,17374.78,91026606
20150108,17907.87,17916.04,17591.97,17591.97,114888423
20150109,17737.37,17915.32,17686.09,17911.02,93391882
20150112,17640.84,17793.88,17571.58,17742.05,92497981
20150113,17613.68,17923.01,17498.23,17645.02,99355008
20150114,17427.09,17609.06,17264.9,17609.06,109180530
20150115,17320.71,17517.41,17298.04,17436.3,94515451
20150116,17511.57,17528.37,17243.55,17320,140475944
20150120,17515.23,17588.7,17346.73,17516.96,119604468
20150121,17554.28,17599.58,17396.04,17509.96,95530961
20150122,17813.98,17840.89,17482.54,17557.29,111976264
20150123,17672.6,17812.5,17667.53,17812.5,97113735
20150126,17678.7,17696.36,17567.6,17668.11,87221764
20150127,17387.21,17638.53,17288.31,17638.53,135937796
20150128,17191.37,17484.41,17189,17402.91,115982628
20150129,17416.85,17433.13,17136.3,17195.29,111691735
20150130,17164.95,17419.9,17156.82,17416.85,168557036
20150202,17361.04,17367.68,17037.76,17169.99,108085517
20150203,17666.4,17670.76,17369.97,17369.97,112860131
20150204,17673.02,17782.22,17603.21,17664.99,102555242
20150205,17884.88,17889.58,17677.26,17677.26,79893893
20150206,17824.29,17951.09,17764.4,17881.54,93610013
20150209,17729.21,17821.49,17685.32,17821.49,81586325
20150210,17868.76,17890.34,17729.24,17736.15,89933039
20150211,17862.14,17897.21,17759.65,17867.86,89894419
20150212,17972.38,17975.65,17862.14,17862.14,117155797
20150213,18019.35,18037.41,17961.76,17968.65,85231610
20150217,18047.58,18052.01,17951.41,18019.8,98760925
20150218,18029.85,18048.7,17982.2,18045.72,75086561
20150219,17985.77,18028.67,17924.6,18028.67,79131365
20150220,18140.44,18144.29,17878.37,17985.77,111386366
20150223,18116.84,18141.21,18054.84,18140.76,83669502
20150224,18209.19,18231.09,18098.73,18112.57,79312890
20150225,18224.57,18244.38,18182.76,18208.67,80483121
20150226,18214.42,18239.43,18157.07,18224.41,81500575
20150227,18132.7,18213.26,18132.38,18213.26,101113284
20150302,18288.63,18288.63,18122.59,18134.05,89794101
20150303,18203.37,18281.95,18136.88,18281.95,83832766
20150304,18096.9,18203.37,18029.5,18203.37,80903784
20150305,18135.72,18160.35,18087.65,18096.9,75841135
20150306,17856.78,18135.72,17825.15,18135.72,113353084
20150309,17995.72,18031.04,17856.56,17856.56,85824770
20150310,17662.94,17989.56,17662.94,17989.56,120445454
20150311,17635.39,17731.78,17627,17662.94,102121893
20150312,17895.22,17900.1,17620.49,17626.84,111551998
20150313,17749.31,17889.05,17629.89,17889.05,113628770
20150316,17977.42,17988.5,17751.24,17751.24,101762339
20150317,17849.08,17972.22,17785.79,17972.22,82560562
20150318,18076.19,18097.12,17697.52,17846.8,130948396
20150319,17959.03,18072.99,17934.24,18072.58,107824496
20150320,18127.65,18197.29,17961.13,17961.13,334245155
20150323,18116.04,18205.93,18116.04,18136.73,98029168
20150324,18011.14,18149.24,18010.44,18110.87,87194431
20150325,17718.54,18041.97,17718.54,18012.61,106593805
20150326,17678.23,17759.51,17579.27,17716.27,117742017
20150327,17712.66,17729.14,17630.49,17673.63,103221502
20150330,17976.31,18008.64,17727.48,17727.48,104038691
20150331,17776.12,17965.37,17773.02,17965.37,119467764
20150401,17698.18,17778.52,17585.01,17778.52,103363835
20150402,17763.24,17815.03,17673.49,17699.52,87371989
20150406,17880.85,17941.79,17646.8,17755.5,100847517
20150407,17875.42,17983.12,17871.21,17884.32,72145067
20150408,17902.51,17976.2,17822.23,17877.62,76821076
20150409,17958.73,17984.22,17823.1,17897.7,86735620
20150410,18057.65,18066.76,17945.55,17956.73,116409885
20150413,17977.04,18107.57,17974.81,18052.32,120086996
20150414,18036.7,18075.6,17905.48,17979.11,82827538
20150415,18112.61,18160.52,18045.71,18045.71,113613947
20150416,18105.77,18169.26,18063.86,18106.27,89515996
20150417,17826.3,18102.56,17748.53,18102.56,138864067
20150420,18034.93,18092.22,17841.18,17841.18,103163433
20150421,17949.59,18109.7,17929.63,18034.23,95175621
20150422,18038.27,18056.02,17887.76,17950.82,91256311
20150423,18058.69,18133.03,17966.77,18031.9,100244859
20150424,18080.14,18108.87,18009.08,18056.42,119130755
20150427,18037.97,18175.56,18024.66,18097.89,121110419
20150428,18110.14,18119.65,17917.36,18035.9,124930994
20150429,18035.53,18096.46,17953.69,18093.69,102076849
20150430,17840.52,18033.33,17774.89,18033.33,129211446
20150501,18024.06,18028.89,17859.27,17859.27,91702042
20150504,18070.4,18133.76,18026.02,18026.02,86013132
20150505,17928.2,18086.01,17905.71,18062.53,95336389
20150506,17841.98,18019.75,17733.12,17934.81,100433863
20150507,17924.06,17973.07,17796.94,17840.25,80924946
20150508,18191.11,18205.23,17933.64,17933.64,94958321
20150511,18105.17,18199.95,18089.11,18187.78,86054921
20150512,18068.23,18119.18,17924.8,18096.16,89273563
20150513,18060.49,18132.79,18039.2,18070.37,85179764
20150514,18252.24,18255.21,18062.49,18062.49,91581834
20150515,18272.56,18272.72,18215.07,18251.97,108216080
20150518,18298.88,18325.54,18244.26,18267.25,79079455
20150519,18312.39,18351.36,18261.35,18300.48,87200383
20150520,18285.4,18350.13,18272.56,18315.06,80186213
20150521,18285.74,18314.89,18249.9,18285.87,84266204
20150522,18232.02,18286.87,18217.14,18286.87,78885066
