Date,Close,High,Low,Open,Volume
20130102,32.71,32.71,32.01,32.1,2741759
20130103,32.44,32.77,32.17,32.65,2833023
20130104,32.87,32.91,32.48,32.48,2499813
20130107,32.87,32.89,32.67,32.7,1728350
20130108,32.87,32.87,32.550098,32.73,1567811
20130109,32.95,33.134998,32.87,32.97,1637789
20130110,33.16,33.19,32.94,33.09,1390743
20130111,33.49,33.55,32.98,33.19,1782161
20130114,33.64,33.86,33.36,33.57,2048836
20130115,33.81,33.88,33.39,33.5,1341361
20130116,33.85,33.9,33.57,33.66,1209024
20130117,34.17,34.29,33.87,33.91,1476128
20130118,34.28,34.43,33.99,34.25,2455164
20130122,34.5,34.59,34.14,34.28,1923516
20130123,34.46,34.54,34.36,34.44,1386961
20130124,34.34,34.56,34,34.52,1949378
20130125,34.48,34.54,34.35,34.52,1841734
20130128,34.46,34.6,34.3,34.58,1089744
20130129,34.69,34.76,34.39,34.47,1393134
20130130,34.72,34.86,34.6,34.7,1865675
20130131,34.87,34.97,34.61,34.69,2513540
20130201,35.37,35.48,35.070099,35.1,2084819
20130204,34.76,35.24,34.69,35.11,4391451
20130205,34.64,35.12,34.32,35.05,4718889
20130206,34.9,35,34.4,34.45,3800855
20130207,34.92,35.19,34.39,34.51,7008604
20130208,35.39,35.79,34.96,35.06,2717032
20130211,35.45,35.53,35.2304,35.29,1974243
20130212,35.49,35.63,35.3,35.45,2392219
20130213,35.36,35.65,35.24,35.58,4210579
20130214,35.92,36.04,35.36,35.44,2755817
20130215,36.26,36.31,35.94,36,2861526
20130219,36.5,36.5,36.08,36.25,2863014
20130220,36.19,36.57,36.15,36.46,3361062
20130221,35.51,36.19,35.485001,36.11,3625104
20130222,35.95,36.07,35.53,35.68,2285024
20130225,35.13,36.08,35.13,36.02,3301149
20130226,34.97,35.42,34.61,35.36,4109540
20130227,35.34,35.48,34.78,35.01,2948955
20130228,35.78,35.94,35.36,35.45,3219093
20130301,35.57,35.7,35.17,35.52,2522155
20130304,35.69,35.69,35.31,35.55,1977705
20130305,36.02,36.05,35.56,35.84,2818261
20130306,35.53,36.02,35.485001,35.87,2042772
20130307,35.91,35.95,35.6,35.6,2132877
20130308,36.27,36.35,35.95,35.98,2395075
20130311,36.07,36.23,35.96,36.15,1587205
20130312,36.08,36.14,35.82,36,1531979
20130313,36.14,36.2,35.86,36.07,954746
20130314,36.08,36.26,35.89,36.2,1663316
20130315,36.16,36.27,35.82,35.94,2878505
20130318,36.28,36.345501,35.73,35.85,2003290
20130319,36.42,36.48,36.16,36.33,1810313
20130320,37.1,37.21,36.53,36.53,3105383
20130321,36.88,37.26,36.8,36.94,2276873
20130322,37.18,37.31,36.94,36.98,1560814
20130325,36.96,37.37,36.85,37.25,1408819
20130326,36.99,37.3,36.88,37.03,2669244
20130327,37.09,37.09,36.54,36.86,3192984
20130328,36.92,37.24,36.85,37.12,2409504
20130401,36.39,36.63,36.22,36.55,4207457
20130402,36.81,36.945,36.42,36.66,3156896
20130403,36.24,36.8,35.91,36.8,3829777
20130404,36.22,36.7,36.17,36.23,2810462
20130405,36,36.17,35.81,35.89,2215392
20130408,36.72,36.73,35.97,35.97,1219861
20130409,36.84,37.055,36.61,36.81,1585708
20130410,37.41,37.46,36.88,36.88,1508614
20130411,37.55,37.64,37.335,37.42,1098429
20130412,37.27,37.44,37.02,37.31,1800399
20130415,36.42,37.09,36.41,36.99,1579189
20130416,37.39,37.42,36.63,36.77,2852883
20130417,36.51,37.25,36.4,37.25,3299182
20130418,36.57,37.12,36.46,36.6,1931676
20130419,37,37.195,36.72,36.72,1298167
20130422,36.84,37.01,36.55,36.82,1674719
20130423,36.97,37.2,36.65,36.92,3701149
20130424,36.7,37.315,36.67,37.05,2978481
20130425,35.9,36.88,35.73,36.86,7291062
20130426,36,36.12,35.79,35.83,5584448
20130429,36.47,36.54,36.11,36.11,2779090
20130430,36.63,36.7,36.1,36.35,2361280
20130501,36.4,36.775002,36.395,36.48,2745217
20130502,36.78,36.92,35.51,36.29,3098970
20130503,37.22,37.41,36.97,36.99,2224544
20130506,37.04,37.26,36.97,37.18,1443220
20130507,37.57,37.57,37.21,37.27,1823659
20130508,37.52,37.66,37.29,37.51,1377769
20130509,37.16,37.63,37.05,37.49,1889152
20130510,37.26,37.26,36.7,37.15,2046823
20130513,37.38,37.51,37.13,37.13,1624577
20130514,38.12,38.275002,37.25,37.25,2080797
20130515,39.14,39.17,38,38.11,3513227
20130516,38.65,39.4,38.62,38.75,5726087
20130517,38.21,38.9,38.19,38.67,4085685
20130520,38.35,38.48,38.16,38.23,2048926
20130521,38.28,38.53,38.01,38.33,1789112
20130522,38.06,38.92,37.93,38.29,1853281
20130523,37.86,38.01,37.57,37.73,2453470
20130524,37.95,38.11,37.49,37.71,1859583
20130528,38.05,38.37,37.97,38.24,1473658
20130529,37.75,38.08,37.7,37.9,2215548
20130530,37.72,37.971001,37.55,37.76,2009543
20130531,37.16,37.93,37.14,37.59,4072644
20130603,37.38,37.42,36.63,37.18,2301575
20130604,37.63,37.955002,37.41,37.43,2166118
20130605,36.83,37.5299,36.79,37.3,2235416
20130606,36.73,37,36.224998,36.88,3560465
20130607,37.04,37.36,36.94,36.96,1918642
20130610,37.16,37.23,36.855,37.14,2437335
20130611,35.92,36.65,35.8,36.65,4309134
20130612,35.9,36.58,35.9,36.04,2467025
20130613,36.26,36.405,35.61,35.93,1487114
20130614,36.14,36.39,35.82,36.12,2285595
20130617,36.19,36.645,35.99,36.46,2136675
20130618,36.49,36.6,36.07,36.16,1696813
20130619,35.79,36.9,35.79,36.45,2972114
20130620,34.58,35.65,34.47,35.6,4876715
20130621,34.49,34.96,34,34.92,3742317
20130624,34.31,34.6399,33.84,34.14,3626228
20130625,34.06,34.61,33.81,34.45,6218539
20130626,34.81,34.92,34.23,34.34,6802832
20130627,35.37,35.53,35.01,35.05,3280875
20130628,35.16,35.52,35.15,35.36,5967763
20130701,35.4,35.61,35.19,35.51,2483374
20130702,35.17,35.66,35,35.37,1942945
20130703,34.57,35.01,34.57,34.89,2858626
20130705,34.97,35.13,34.645,34.92,1908993
20130708,35.31,35.46,34.88,35.07,2934565
20130709,35.75,36,35.53,35.66,2660669
20130710,35.98,36.1,35.67,35.78,2166109
20130711,36.72,36.73,36.31,36.34,1801066
20130712,36.89,36.89,36.5,36.62,2826649
20130715,37.15,37.25,36.83,36.85,2133442
20130716,37,37.28,36.7,36.88,3377353
20130717,37.07,37.28,37,37.05,2144316
20130718,37.04,37.31,36.99,37.25,2109624
20130719,37.17,37.275002,37,37.12,2487706
20130722,37.35,37.5,37.21,37.25,1140354
20130723,37.49,37.59,37.355,37.46,2285688
20130724,37.5,37.62,37.28,37.57,2793909
20130725,38.19,38.32,37.12,37.39,3804576
20130726,37.85,38.095001,37.72,38,1977143
20130729,37.53,38.06,37.51,37.79,1092251
20130730,37.41,37.865002,37.4,37.67,1349998
20130731,37.54,37.88,37.25,37.25,1919568
20130801,38.13,38.23,37.69,37.82,1944141
20130802,38.12,38.224998,37.8,37.92,1631490
20130805,38.2,38.29,37.99,38.11,1178125
20130806,37.93,38.2,37.91,38.14,1531611
20130807,37.85,37.97,37.72,37.84,2208565
20130808,38.34,38.455002,37.92,38.09,1518004
20130809,38.18,38.5,38.1502,38.27,1049608
20130812,38.25,38.285,37.94,38,1143833
20130813,38.36,38.48,38.23,38.27,1948316
20130814,38.37,38.49,38.26,38.31,2320219
20130815,38.02,38.27,37.91,38.16,3174063
20130816,37.59,38.02,37.4,37.99,2288822
20130819,37.44,37.65,37.42,37.58,1571388
20130820,37.55,37.794998,37.43,37.45,2066597
20130821,37.14,37.5,37.03,37.49,1832777
20130822,37.47,37.56,37.06,37.17,1331787
20130823,37.59,37.66,37.31,37.56,1588092
20130826,37.22,37.75,37.17,37.62,1630857
20130827,37.09,37.3,36.812,36.96,2032548
20130828,36.8,37.13,36.7,37.03,2636975
20130829,37.46,37.56,36.58,36.67,2512838
20130830,37.4,37.62,37.22,37.51,2059042
20130903,38.54,38.65,38.233898,38.42,4127337
20130904,38.74,39,38.175,38.26,4364650
20130905,38.43,38.81,38.33,38.7,3379714
20130906,38.81,39.17,37.96,38.47,2530372
20130909,39.57,39.615002,38.84,38.84,2417252
20130910,39.66,39.94,39.57,39.8,2089066
20130911,39.71,39.78,39.49,39.67,1811166
20130912,39.4,39.81,39.395,39.63,1941856
20130913,39.71,39.83,39.29,39.49,1542248
20130916,40.41,40.45,40.01,40.14,2351560
20130917,40.8,40.83,40.39,40.47,3747275
20130918,41.37,41.48,40.58,40.9,2881526
20130919,41.1,41.415001,41.02,41.36,1862438
20130920,40.83,41.18,40.72,41.12,3031913
20130923,40.57,40.8895,40.52,40.78,1016224
20130924,40.22,40.72,40.19,40.52,2060872
20130925,40.1,40.4,39.99,40.23,2235440
20130926,40.63,40.64,40.1,40.24,1818239
20130927,40.57,40.695,40.224998,40.57,1643697
20130930,40.21,40.57,40.09,40.25,1656323
20131001,40.8,40.87,40.08,40.09,2162874
20131002,40.72,40.84,40.39,40.67,2014513
20131003,40.26,40.61,39.99,40.57,2576638
20131004,40.2,40.4,39.95,40.32,2519253
20131007,39.79,40.215,39.69,39.9,1864420
20131008,39.69,40.03,39.565,39.87,2581530
20131009,39.52,40.015,39.49,39.83,2647122
20131010,40.56,40.56,39.79,39.83,1613055
20131011,40.88,40.88,40.38,40.6,1132587
20131014,41.04,41.07,40.495,40.71,1167252
20131015,40.5,41.13,40.36,41.05,1692775
20131016,41.1,41.224998,40.74,40.8,2082700
20131017,41.91,41.92,40.88,41.07,1968606
20131018,42.19,42.2,41.8,42.16,2825393
20131021,42.13,42.16,41.78,42.16,1664778
20131022,42.78,42.95,42.28,42.37,2338452
20131023,42.47,42.67,42.17,42.55,2306203
20131024,40.45,42.17,40.07,42.01,6536334
20131025,41.18,41.22,39.93,40.08,2998204
20131028,42.05,42.09,41.14,41.26,1919718
20131029,42.57,42.59,42.05,42.1,2088231
20131030,41.99,42.76,41.98,42.71,2390991
20131031,41.73,42.06,41.7,42,2104228
20131101,41.77,42.03,41.32,41.82,1957765
20131104,41.76,41.94,41.54,41.65,1331884
20131105,41.12,41.54,41.1,41.39,1901099
