Date,Close,High,Low,Open,Volume
20130102,37.18668526,39.92668663,36.8000184,38.45335256,3031689
20130103,37.98001899,38.72668603,37.25335196,38.0666857,2492255
20130104,39.22668628,39.333353,38.23335245,38.78001939,2591192
20130107,40.44668689,41.16668725,39.87335327,41.11335389,3880523
20130108,39.10001955,41.21335394,37.36668535,41.16002058,5288731
20130109,40.2666868,40.56668695,38.16668575,39.16668625,2454089
20130110,39.54001977,40.92668713,38.4000192,40.68002034,3005143
20130111,40.23335345,40.5993523,39.60668647,40.30002015,1966389
20130114,40.47335357,41.56602078,39.55335311,40.76002038,2247105
20130115,41.6666875,41.92002096,40.00002,40.30668682,1867374
20130116,41.72668753,42.14002107,40.86002043,42.14002107,2234134
20130117,42.10002105,42.39328853,41.24002062,41.6666875,1547390
20130118,43.88002194,44.14668874,41.93468763,42.44668789,2529412
20130122,46.5333566,47.48002374,44.78802239,45.02002251,5052723
20130123,45.56668945,47.98669066,44.84002242,47.98669066,4207579
20130124,46.44002322,47.6666905,45.2666893,45.30002265,2851909
20130125,46.04668969,47.9333573,45.43335605,47.43335705,3422963
20130128,39.6666865,46.16002308,39.4000197,46.14002307,11340790
20130129,41.333354,42.39335453,37.44001872,38.56668595,6877624
20130130,40.2666868,42.48668791,40.00735467,42.43335455,3646586
20130131,38.56668595,39.83335325,36.00668467,39.70001985,5682065
20130201,39.02668618,39.8666866,38.666686,39.34001967,2080127
20130204,39.81335324,40.80668707,38.75335271,39.16668625,2425498
20130205,41.72002086,42.30668782,40.5333536,40.76668705,3322157
20130206,44.9333558,44.96668915,42.40668787,43.37335502,4914621
20130207,44.03335535,45.62668948,42.69335468,45.02002251,3820615
20130208,44.60668897,45.06662187,44.14668874,44.38668886,2287047
20130211,44.9333558,45.18002259,43.52002176,45.18002259,2459911
20130212,42.04668769,45.16668925,41.50668742,44.46002223,5126213
20130213,43.74002187,44.06662137,42.04002102,42.82002141,4588258
20130214,41.83335425,43.63335515,39.84668659,43.34668834,8189982
20130215,39.68668651,41.87328627,38.98001949,41.68668751,5952486
20130219,40.1333534,40.29335348,38.95335281,39.65335316,3093684
20130220,39.9333533,40.62668698,39.20668627,40.3333535,2020648
20130221,36.59335163,39.82601858,35.7333512,39.43335305,4927655
20130222,37.96668565,38.29335248,37.00681917,37.35335201,3013480
20130225,34.55,36.59,30.28,32.94,15722121
20130226,35.12,35.86,33.57,34.98,6138441
20130227,36.37,37,35.13,35.8,3912637
20130228,36.96,37.698299,36.41,37.36,4161035
20130301,36.7,37.16,35.18,36,3541825
20130304,35.66,37.85,35.4,37.63,4081685
20130305,34.47,36.2,34.24,35.65,3811098
20130306,32.67,34.16,32.25,34.14,5668383
20130307,33.21,34.46,31.76,32.15,4492019
20130308,33.72,34.41,32.66,34.01,3718900
20130311,33.09,34.17,32.91,34.17,2513744
20130312,32.48,33.589901,32.33,32.9,2841868
20130313,32,32.56,31.8,32.51,2926172
20130314,30.66,32.24,29.9,32.18,6851812
20130315,29.16,30.43,28.62,30.05,7373916
20130318,29.72,30.29,27.88,28.31,5178193
20130319,29.16,30.36,28.810101,30.13,3191710
20130320,29.42,30.1,29.05,29.31,2954229
20130321,30.57,31.36,28.61,29.42,4906114
20130322,31.53,32.33,30.61,31.19,5845963
20130325,30.83,32.35,30.75,32.29,3602241
20130326,30.92,31.3,29.88,31.1,2594989
20130327,30.62,30.85,30,30.53,2692923
20130328,32.24,32.4,30.9,31.2167,3894833
