Date,Close,High,Low,Open,Volume
20130102,196.35001,196.35001,193.8,194.09,4234226
20130103,195.27,196.29,194.44,195.67,3645161
20130104,193.99001,194.46001,192.78,194.19,3380159
20130107,193.14,193.78,192.34,193.4,2862276
20130108,192.87,193.3,191.605,192.92,3028071
20130109,192.32001,193.49001,191.65,193.48,3212230
20130110,192.88,192.96001,191.28,192.65,3608049
20130111,194.45,195,192.9,194.15,3880667
20130114,192.62,193.28,191.75,192.82001,4174712
20130115,192.5,192.73,190.39,191.31,4172034
20130116,192.59,193.18,191.35001,192,2963020
20130117,193.65,194.46001,193.24001,193.85001,3893754
20130118,194.47,195,193.8,194.03,4560073
20130122,196.08,196.08,194.01,194.36,7172283
20130123,204.72,208.58,203.36,203.5,12531796
20130124,204.42,205.06,203.08,203.91,4447452
20130125,204.97,205.18,204.13,204.45,3359187
20130128,204.93,206.22,204.29,204.85001,2823715
20130129,203.9,205.7301,203.64,204.34,3617743
20130130,203.52,204.88,203.186,203.69,2998524
20130131,203.07001,204.46989,202.96001,203.32001,3091506
20130201,205.18,205.35001,203.84,204.65,3371154
20130204,203.79,205.02,203.57001,204.19,3188819
20130205,202.79,204.75,202.51,204.31,3636837
20130206,201.02,201.29,199.56,200.39,3624203
20130207,199.74001,200.91,198.68,200.62,3076793
20130208,201.68,202.09,199.68,199.97,2893254
20130211,200.16,201.95,199.75,200.98,2944651
20130212,200.04,200.735,199.02,200.01,2461779
20130213,200.09,200.95,199.57001,200.65,2169757
20130214,199.65,200.32001,199.26,199.73,3294126
20130215,200.98,201.25,199.82001,199.98,3627887
20130219,200.32001,201.89,200.22,200.6,2998317
20130220,199.31,201.72,198.86,200.62,3715411
20130221,198.33,199.07001,198.11,198.63,3923051
20130222,201.09,201.09,198.84,199.23,3107976
20130225,197.51,202.49001,197.51,201.67,3847976
20130226,199.14,199.9,197.84,198.63,3391562
20130227,202.33,202.75,198.6,198.89,4185545
20130228,200.83,203.123,200.79,202.18,4689998
20130301,202.91,202.94,199.36,200.65,3309434
20130304,205.19,205.19,202.55,202.59,3693365
20130305,206.53,207.7,205.69,205.86,3807706
20130306,208.38,208.49001,206.66,207.03,3594899
20130307,209.42,209.6,208.24001,208.29,3884317
20130308,210.38,210.74001,209.43,209.85001,3700986
20130311,210.08,210.2,209.04,210.04,3049701
20130312,210.55,210.73,209.09,209.4,3592096
20130313,212.06,212.36,209.77,210.2001,3357146
20130314,215.8,215.86,212.15,212.15,5506969
20130315,214.92,215.9,213.41,215.38,7937244
20130318,213.21001,214.5,212.64,212.9,3006125
20130319,213.44,215.12,211.82899,214.13,3198877
20130320,215.06,215.82001,214.3,214.76,3020648
20130321,212.26,213,210.11,212.96001,5830566
20130322,212.08,213.17,211.619,212.21001,3031457
20130325,210.74001,212.81,210.05,212.54,3242463
20130326,212.36,212.504,211.5,211.77,2300240
20130327,210.89,212.16,210.1,210.96001,3223381
20130328,213.3,213.44,209.735,209.83,3752999
20130401,212.38,213.5,211.25,212.8,2144926
20130402,214.36,214.71001,211.57001,212.92,3117150
20130403,212.66,214.89,212.6275,214.32001,3128818
20130404,211.31,212.93,210.04,212.77,3709490
20130405,209.41,209.84,206.34,209.1,4148177
20130408,209.32001,209.32001,207.33,209.07001,2351166
20130409,209.22,210,208.61,209.56,2577249
20130410,212,212.51,210.47,211.86,3524112
20130411,212.92,213.09,210.85001,211.5,3655566
20130412,211.38,211.49001,209.78,210.79,3165897
20130415,209.26,211.69,209.26,210.44,4218575
20130416,212,212,209.2,210.84,2860054
20130417,209.67,211.09,209.5,210.53,3269874
20130418,207.15,210.25,206.15,210.11,6501970
20130419,190,196.5,189.76,195.74001,18848884
20130422,187.83,191.38,187.68,191.15,9847065
20130423,191.61,192.55499,188.61,189.27,6301279
20130424,191.71001,192.5,191.09,192.16,3694008
20130425,193.95,195.17,192.32001,192.69,4651956
20130426,194.31,194.71001,193.25,194.16,3490234
20130429,199.15,199.68,194.65,194.78,5937395
20130430,202.54,202.59,197.35001,199.13,7540835
20130501,199.63,202.17,199.2,201.87,4899267
20130502,202.39,202.43,199.75,200.12,3946539
20130503,204.51,205.319,203.75,203.94,4494744
20130506,202.78,203.99001,201.52,203.79,4827188
20130507,203.63,203.73,201.65,202.81,3450976
20130508,204.82001,204.85001,202.51,202.94,3602292
20130509,203.24001,205,202.72,204.69,3542923
20130510,204.47,204.53,202.82001,203.37,3279558
20130513,202.47,204.47,202.22,204.18,3651831
20130514,203.21001,203.67,202.08,202.09,3701203
20130515,203.32001,203.6799,202.04,202.25,4030080
20130516,204.69,206.59,204,204,4506972
20130517,208.44,209.5,204.99001,205.25,5704295
20130520,207.6,209.15,207.42,208.02,3614453
20130521,208.65,209.48,207,207.24001,2982927
20130522,206.99001,210.15,206.121,208.5,5187131
20130523,206.16,208.61,205.13,205.48,5180440
20130524,205.72,206.43,204.42,204.69,3295737
20130528,207.78,208.59,207.16,207.44,4011700
20130529,207.92,208.42,206.04,206.22,3439413
20130530,209.36,210.99001,206.97,206.97,4400197
20130531,208.02,211.98,208.02,208.59,4950406
20130603,208.95,210.05,207.33,208.25,3323648
20130604,206.19,209,205.08,208.6,3598659
20130605,202.74001,206.29,202.4,205.16,4215365
20130606,203.8,204.2,201.47,203,3679532
20130607,206.35001,206.35001,204.11,204.85001,2953540
20130610,205.02,206.98,204.9,206.97,2652420
20130611,203.98,205.95,202.51,203.17,2814520
20130612,201.2,205.23,200.51,204.59,3409855
20130613,203.77,204.4,200.34,201.01,2899698
20130614,202.2,204.745,201.81,203.97,2804859
20130617,203.04,205.1713,202.55,203.44,3220009
20130618,204.87,206.09,202.87,203.02,3278151
20130619,201.94,205.03,201.93,204.44,2846204
20130620,197.35001,201.7,197.28,200.67,4516329
20130621,195.46001,198.52,193.5401,198.5,8919218
20130624,193.54,194.91,191.34,193.99001,4356153
20130625,194.98,195.59,193.15,195.31,3848021
20130626,194.86,196.23,194.5,195.97,3320202
20130627,195.65,196.9,195.29,196.05,3519332
20130628,191.11,192.66,188.41,191.73,10056856
20130701,191.28,193.8,191.12,192.15,4442422
20130702,191.5,193.23,190.26,190.78,3657855
20130703,193.25,194.22,190.51,190.98,1878313
20130705,194.93,195.16,192.35001,194.49001,2407971
20130708,194.98,195.78,194.61,195.6,2948458
20130709,191.3,192.8,190.78,191.88,5204685
20130710,192.25,193.43,191.27139,191.51,3891960
20130711,192.8,194.11,192.61,193.78,4179123
20130712,192.07001,193.7,191.5901,193.07001,4495892
20130715,194,194.89,191.68,192.42,5678238
