Date,Close,High,Low,Open,Volume
20150102,2058.2,2072.36,2046.04,2058.9,426937581
20150105,2020.58,2054.44,2017.34,2054.44,611506858
20150106,2002.61,2030.25,1992.44,2022.15,628224413
20150107,2025.9,2029.61,2005.55,2005.55,538478740
20150108,2062.14,2064.08,2030.61,2030.61,604827987
20150109,2044.81,2064.43,2038.33,2063.45,503887901
20150112,2028.26,2049.3,2022.58,2046.13,536631269
20150113,2023.03,2056.93,2008.25,2031.58,610182246
20150114,2011.27,2018.4,1988.44,2018.4,673001114
20150115,1992.67,2021.35,1991.47,2013.75,608258039
20150116,2019.42,2020.46,1988.12,1992.25,731828339
20150120,2022.55,2028.94,2004.49,2020.76,605394244
20150121,2032.12,2038.29,2012.04,2020.19,538996626
20150122,2063.15,2064.62,2026.38,2034.3,643547837
20150123,2051.82,2062.98,2050.54,2062.98,535455933
20150126,2057.09,2057.62,2040.97,2050.42,525986275
20150127,2029.55,2047.86,2019.91,2047.86,562176423
20150128,2002.16,2042.49,2001.49,2032.34,648480471
20150129,2021.25,2024.64,1989.18,2002.45,620130124
20150130,1994.99,2023.32,1993.38,2019.35,893217502
20150202,2020.85,2021.66,1980.9,1996.67,637708675
20150203,2050.03,2050.3,2022.71,2022.71,658300755
20150204,2041.51,2054.74,2036.72,2048.86,638853840
20150205,2062.52,2063.55,2043.45,2043.45,532688569
20150206,2055.47,2072.4,2049.97,2062.28,590733024
20150209,2046.74,2056.16,2041.88,2053.47,502321634
20150210,2068.59,2070.86,2048.62,2049.38,537838874
20150211,2068.53,2073.48,2057.99,2068.55,502374735
20150212,2088.48,2088.53,2069.98,2069.98,563402483
20150213,2096.99,2097.03,2086.7,2088.78,501223065
20150217,2100.34,2101.3,2089.8,2096.47,557220441
20150218,2099.68,2100.23,2092.15,2099.16,458222878
20150219,2097.45,2102.13,2090.79,2099.25,462240272
20150220,2110.3,2110.61,2085.44,2097.65,621832126
20150223,2109.66,2110.05,2103,2109.83,497016103
20150224,2115.48,2117.94,2105.87,2109.1,499805150
