Date,Close,High,Low,Open,Volume
20130102,49.76,49.76,48.7,48.71,8168831
20130103,49.78,49.96,49.46,49.63,5771885
20130104,49.37,49.94,49.26,49.8,5977779
20130107,49.12,49.21,48.55,49.08,4946709
20130108,50.15,50.15,48.85,49.07,8978072
20130109,49.63,50.28,49.39,50.11,5281380
20130110,49.81,49.99,49.435001,49.95,4660738
20130111,49.61,49.87,49.43,49.69,2726043
20130114,49.3,49.78,48.915001,49.65,5153762
20130115,49.13,49.22,48.92,49.02,4586059
20130116,49.17,49.31,48.84,49.08,3370427
20130117,49.4,50.18,49.230099,49.51,6749738
20130118,49.93,49.93,49.41,49.58,4027067
20130122,50.33,50.33,49.5,49.81,5200568
20130123,50.82,50.97,50.05,50.08,4691095
20130124,50.8,51.29,50.61,50.73,4727675
20130125,50.4,50.99,50.185001,50.88,5104935
20130128,50.09,50.63,50,50.57,5119205
20130129,50.06,50.22,49.5,49.89,5056665
20130130,50.14,50.34,49.7,50.02,4282903
20130131,50.52,50.73,49.9,50.05,4336622
20130201,50.88,51.18,50.55,50.77,7565323
20130204,50.44,50.83,50.11,50.44,4482561
20130205,49.96,50.71,49.9,50.57,7450331
20130206,52.01,52.72,50.7,51.01,13206987
20130207,52.36,52.38,51.37,52,7616370
20130208,52.57,52.85,52.16,52.16,6173786
20130211,52.13,52.3,51.82,52.28,5250173
20130212,52.5,52.69,52.03,52.03,5841848
20130213,52.85,53.65,52.26,52.61,9524052
20130214,53.63,53.89,52.54,52.64,8479130
20130215,53.52,53.88,53.29,53.72,8872566
20130219,53.79,53.9,53.445,53.61,4890231
20130220,53.23,53.875,53.13,53.52,4176970
20130221,52.61,53.08,52.33,52.97,6026468
20130222,52.99,53,52.52,52.67,4390893
20130225,51.64,53.35,51.62,53,6433022
20130226,52.28,52.37,51.69,51.69,5270002
20130227,53.31,53.42,52.04,52.32,6220502
20130228,53.17,53.625,53.14,53.36,4029678
20130301,53.62,53.995,52.66,53.04,6780690
20130304,54.16,54.16,53.13,53.37,5976081
20130305,55.05,55.55,54.34,54.39,6826474
20130306,55.46,56.07,55,55.31,8275123
20130307,56.78,56.89,55.7,56.75,14357720
20130308,57.46,57.85,56.67,56.72,10274285
20130311,57.26,57.47,56.78,57.44,8501112
20130312,56.42,57.21,56.36,57.15,9343605
20130313,56.63,56.78,56.26,56.45,5580115
