Date,Close,High,Low,Open,Volume
20130102,88.71,88.72,87.24,87.79,16148868
20130103,88.55,88.89,88.16,88.46,13269179
20130104,88.96,89.09,88.37,88.5,11428583
20130107,87.93,88.49,87.57,88.31,11801275
20130108,88.48,88.48,87.29,87.82,14229920
20130109,88.14,88.54,87.754997,88.4,10892162
20130110,89.1,89.48,88.37,88.75,13100034
20130111,89.61,89.71,88.864998,88.97,11646477
20130114,89.58,89.75,89.319,89.46,9606647
20130115,89.53,89.61,89,89.18,9195312
20130116,89.47,89.48,89.07,89.16,9645845
20130117,90.2,90.94,89.6,89.76,13401388
20130118,90.8,90.83,89.83,90.09,17197688
20130122,90.92,90.94,90.21,90.27,11898532
20130123,90.7,90.88,90.42,90.5,10907080
20130124,91.35,91.72,90.75,90.88,11099906
20130125,91.73,91.8,91.13,91.57,11092353
20130128,91.11,91.67,90.77,91.67,11618497
20130129,91.76,91.93,91.2,91.21,11702209
20130130,90.67,91.72,90.38,91.17,15647280
20130131,89.97,91.21,89.74,90.69,15994835
20130201,90.04,90.5,89.36,90.44,15702065
20130204,89.15,89.62,88.84,89.41,13347435
20130205,89.74,90.19,89.42,89.88,11679632
20130206,89.79,89.89,86.587502,89.37,11768634
20130207,88.25,89.22,87.61,89.21,13464888
20130208,88.61,88.8,88.11,88.5,11412204
20130211,88.28,88.51,87.97,88.35,8764645
20130212,88.46,88.62,87.92,88.25,9752563
20130213,88.67,88.77,88.24,88.46,8940927
20130214,88.52,88.81,88.06,88.34,13238873
20130215,88.36,88.61,87.8,88.57,15697693
20130219,89.32,89.41,88.38,88.54,12159751
20130220,88.97,89.82,88.9,89.14,13937092
20130221,88.59,89.017998,88.36,88.79,10940724
20130222,89.2,89.28,88.405,89.02,10260417
20130225,87.7,90.191002,87.7,89.88,15303746
20130226,88.51,88.98,87.76,88.5,15075025
20130227,89.53,89.65,88.31,88.5,11195819
20130228,89.55,89.81,89.03,89.67,14556048
20130301,89.43,89.68,88.92,89.07,11302578
20130304,88.95,89.25,88.46,89.13,10994996
20130305,89.61,90.15,89.285004,89.48,13072924
20130306,89.56,89.95,89.05,89.6,13234615
20130307,88.71,89.76,88.68,89.63,12908079
20130308,88.97,89.23,88.35,89.01,11901375
20130311,89.16,89.55,88.542,89.01,12456610
20130312,89.16,89.91,89.01,89.45,11470483
20130313,89.26,89.5,88.83,89.02,10539885
20130314,89.83,89.91,89.41,89.41,13777001
20130315,89.37,89.61,88.79,89.2,29246012
20130318,88.77,89.39,88.55,88.74,11554806
20130319,88.58,89.09,88.020103,88.89,11987830
20130320,88.63,89.21,88.3,88.95,11319619
20130321,88.17,88.64,87.9,88.12,13448750
20130322,89.29,89.29,88.32,88.4,10786584
20130325,89.02,89.9,88.66,89.5,12900801
20130326,90.13,90.3,89.36,89.41,12329745
20130327,90.58,90.735001,89.47,89.56,12351223
20130328,90.11,90.98,89.99,90.64,17487808
20130401,90.77,90.985001,89.98,90.13,9416564
20130402,90.58,90.92,90.28,90.59,9991950
20130403,89.93,90.83,89.86,90.65,12197778
20130404,89.77,90.33,89.224998,90.1,11582271
20130405,89.01,89.21,88.4,88.61,12771763
20130408,88.6,89.11,88.150101,89.11,11015996
20130409,88.77,89.34,88.59,88.69,10755779
20130410,88.68,89.16,88.2,88.45,14826366
20130411,89.22,89.27,88.23,88.95,14980292
20130412,88.99,89.19,88.41,88.88,11506425
20130415,86.49,88.67,86.27,88.29,19636902
20130416,86.61,87.23,86.085,87.19,14580454
20130417,86.08,86.38,85.02,86.21,17341852
20130418,86.62,87.08,85.78,86.28,14730314
20130419,87.45,87.49,86.43,87.27,18393780
20130422,88.09,88.32,87.285004,87.61,11263146
20130423,89.3,89.49,87.94,88.39,15571115
20130424,89.43,89.89,89.35,89.45,13034909
20130425,88.07,88.9,87.65,88.89,16329835
20130426,88,88.28,87.6,87.81,10793780
20130429,88.21,88.83,88.01,88.26,11095567
20130430,88.99,88.99,87.76,88.26,14585789
20130501,87.51,88.84,87.48,88.52,11619457
20130502,88.63,88.84,87.74,87.98,11331136
20130503,90.02,90.19,88.92,89,13037441
20130506,90.58,90.88,89.93,90.25,10613407
20130507,91.15,91.15,90.144997,90.62,11089576
20130508,91.7,91.85,91.03,91.05,13639840
20130509,91.03,91.56,90.69,91.14,13774100
20130510,90.14,90.95,89.79,90.87,10976530
20130513,90.1,90.14,89.43,89.8,9812126
20130514,91.11,91.19,90.02,90.15,9896767
20130515,91.24,91.32,90.41,90.64,10400737
20130516,90.7,91.287003,90.5,90.8,10470178
20130517,91.76,91.88,90.53,91.07,12724076
20130520,92.52,92.69,91.46,91.61,12418207
20130521,92.8,93.43,92.38,92.67,12520506
20130522,92.19,93.5,91.81,92.83,19259244
20130523,91.79,92.36,91.36,91.56,15357849
20130524,91.53,91.77,91,91.38,12771830
20130528,92.38,93.18,91.76,92.94,15198326
20130529,92.08,92.415001,91.59,91.76,11563102
20130530,92.09,92.68,91.6,91.97,9740964
20130531,90.47,92.37,90.46,91.95,17924356
20130603,91.46,91.51,90.48,90.53,14180143
20130604,90.79,91.49,90.2201,91.18,12481544
